HighCard ('8', '6', '4', '3', '2')
ThreeOfAKind ('6', 'Q', 'J')
ThreeOfAKind ('6', 'K', '4')
ThreeOfAKind ('6', 'K', 'J')
ThreeOfAKind ('6', 'A', '3')
ThreeOfAKind ('6', 'A', '5')
ThreeOfAKind ('6', 'A', 'J')
ThreeOfAKind ('7', '8', '5')
ThreeOfAKind ('7', '9', '3')
ThreeOfAKind ('7', '9', '4')
ThreeOfAKind ('7', 'T', '9')
ThreeOfAKind ('7', 'J', '2')
ThreeOfAKind ('7', 'J', '3')
ThreeOfAKind ('7', 'J', '4')
ThreeOfAKind ('7', 'J', '9')
ThreeOfAKind ('7', 'J', 'T')
ThreeOfAKind ('7', 'Q', '5')
ThreeOfAKind ('7', 'Q', '9')
ThreeOfAKind ('7', 'K', '3')
ThreeOfAKind ('7', 'K', 'Q')
ThreeOfAKind ('8', '4', '2')
ThreeOfAKind ('8', '5', '2')
ThreeOfAKind ('8', '5', '3')
ThreeOfAKind ('8', '6', '4')
ThreeOfAKind ('8', '7', '2')
ThreeOfAKind ('8', 'T', '5')
ThreeOfAKind ('8', 'T', '6')
ThreeOfAKind ('8', 'J', '2')
ThreeOfAKind ('8', 'J', '3')
ThreeOfAKind ('8', 'J', '4')
ThreeOfAKind ('8', 'J', '7')
ThreeOfAKind ('8', 'J', '9')
ThreeOfAKind ('8', 'Q', '9')
ThreeOfAKind ('8', 'A', '2')
ThreeOfAKind ('8', 'A', '5')
ThreeOfAKind ('8', 'A', '7')
ThreeOfAKind ('9', '3', '2')
ThreeOfAKind ('9', '4', '3')
ThreeOfAKind ('9', '8', '2')
ThreeOfAKind ('9', '8', '4')
ThreeOfAKind ('9', 'T', '4')
ThreeOfAKind ('9', 'T', '6')
ThreeOfAKind ('9', 'J', '3')
ThreeOfAKind ('9', 'J', '5')
ThreeOfAKind ('9', 'J', '6')
ThreeOfAKind ('9', 'Q', '2')
ThreeOfAKind ('9', 'Q', '3')
ThreeOfAKind ('9', 'Q', 'J')
ThreeOfAKind ('9', 'K', '8')
ThreeOfAKind ('9', 'A', 'J')
ThreeOfAKind ('T', '5', '3')
ThreeOfAKind ('T', '8', '5')
ThreeOfAKind ('T', 'J', '2')
ThreeOfAKind ('T', 'J', '3')
ThreeOfAKind ('T', 'J', '5')
ThreeOfAKind ('T', 'J', '8')
ThreeOfAKind ('T', 'Q', '4')
ThreeOfAKind ('T', 'K', '2')
ThreeOfAKind ('T', 'K', '7')
ThreeOfAKind ('T', 'K', 'J')
ThreeOfAKind ('T', 'A', 'J')
ThreeOfAKind ('T', 'A', 'K')
ThreeOfAKind ('J', '9', '2')
ThreeOfAKind ('J', '9', '4')
ThreeOfAKind ('J', 'A', '8')
ThreeOfAKind ('Q', '8', '2')
ThreeOfAKind ('Q', 'J', '2')
ThreeOfAKind ('Q', 'K', '3')
ThreeOfAKind ('Q', 'K', 'J')
ThreeOfAKind ('Q', 'A', '8')
ThreeOfAKind ('K', '5', '4')
ThreeOfAKind ('K', '6', '2')
ThreeOfAKind ('K', '6', '4')
ThreeOfAKind ('K', '7', '2')
ThreeOfAKind ('K', '7', '5')
ThreeOfAKind ('K', '8', '2')
ThreeOfAKind ('K', '8', '6')
ThreeOfAKind ('K', '8', '7')
ThreeOfAKind ('K', '9', '6')
ThreeOfAKind ('K', 'T', '4')
ThreeOfAKind ('K', 'J', '2')
ThreeOfAKind ('K', 'J', '5')
ThreeOfAKind ('K', 'J', '9')
ThreeOfAKind ('K', 'Q', '9')
ThreeOfAKind ('K', 'Q', 'T')
ThreeOfAKind ('A', '6', '4')
ThreeOfAKind ('A', '8', '3')
ThreeOfAKind ('A', '8', '5')
ThreeOfAKind ('A', '8', '6')
ThreeOfAKind ('A', '9', '3')
ThreeOfAKind ('A', '9', '5')
ThreeOfAKind ('A', 'T', '5')
ThreeOfAKind ('A', 'T', '7')
ThreeOfAKind ('A', 'T', '8')
ThreeOfAKind ('A', 'J', '2')
ThreeOfAKind ('A', 'J', 'T')
ThreeOfAKind ('A', 'Q', '9')
ThreeOfAKind ('A', 'K', '5')
ThreeOfAKind ('A', 'K', '9')
ThreeOfAKind ('A', 'K', 'T')
ThreeOfAKind ('A', 'K', 'J')
FullHouse ('2', '3')
FullHouse ('2', '4')
FullHouse ('2', '5')
FullHouse ('2', '6')
FullHouse ('2', '8')
FullHouse ('2', '9')
FullHouse ('2', 'T')
FullHouse ('2', 'J')
FullHouse ('2', 'Q')
FullHouse ('2', 'K')
FullHouse ('2', 'A')
FullHouse ('3', '2')
FullHouse ('3', '5')
FullHouse ('3', '6')
FullHouse ('3', '7')
FullHouse ('3', 'T')
FullHouse ('3', 'J')
FullHouse ('3', 'K')
FullHouse ('4', '2')
FullHouse ('4', '6')
FullHouse ('4', '8')
FullHouse ('4', 'T')
FullHouse ('4', 'Q')
FullHouse ('4', 'K')
FullHouse ('4', 'A')
FullHouse ('5', '3')
FullHouse ('5', '4')
FullHouse ('5', '6')
FullHouse ('5', '7')
FullHouse ('5', '8')
FullHouse ('5', 'T')
FullHouse ('5', 'J')
FullHouse ('5', 'K')
FullHouse ('5', 'A')
FullHouse ('6', '2')
FullHouse ('6', '3')
FullHouse ('6', '5')
FullHouse ('6', '7')
FullHouse ('6', '9')
FullHouse ('6', 'J')
FullHouse ('6', 'Q')
FullHouse ('7', '2')
FullHouse ('7', '4')
FullHouse ('7', '5')
FullHouse ('7', '6')
FullHouse ('7', '8')
FullHouse ('7', 'J')
FullHouse ('7', 'A')
FullHouse ('8', '2')
FullHouse ('8', '4')
FullHouse ('8', '5')
FullHouse ('8', '7')
FullHouse ('8', '9')
FullHouse ('8', 'T')
FullHouse ('8', 'Q')
FullHouse ('8', 'A')
FullHouse ('9', '2')
FullHouse ('9', '3')
FullHouse ('9', '6')
FullHouse ('9', '7')
FullHouse ('9', 'T')
FullHouse ('9', 'J')
FullHouse ('9', 'K')
FullHouse ('9', 'A')
FullHouse ('T', '2')
FullHouse ('T', '3')
FullHouse ('T', '4')
FullHouse ('T', '6')
FullHouse ('T', '7')
FullHouse ('T', 'J')
FullHouse ('T', 'K')
FullHouse ('T', 'A')
FullHouse ('J', '3')
FullHouse ('J', '4')
FullHouse ('J', '5')
FullHouse ('J', '6')
FullHouse ('J', '8')
FullHouse ('J', 'T')
FullHouse ('Q', '2')
FullHouse ('Q', '3')
FullHouse ('Q', '4')
FullHouse ('Q', '6')
FullHouse ('Q', '7')
FullHouse ('Q', '8')
FullHouse ('Q', '9')
FullHouse ('Q', 'T')
FullHouse ('Q', 'J')
FullHouse ('K', '2')
FullHouse ('K', '3')
FullHouse ('K', '5')
FullHouse ('K', '6')
FullHouse ('K', '8')
FullHouse ('K', '9')
FullHouse ('K', 'J')
FullHouse ('A', '2')
FullHouse ('A', '7')
FullHouse ('A', 'T')
FullHouse ('A', 'J')
FullHouse ('A', 'Q')
FullHouse ('A', 'K')
FourOfAKind ('2', '3')
FourOfAKind ('2', '4')
FourOfAKind ('2', '8')
FourOfAKind ('2', 'T')
FourOfAKind ('2', 'J')
FourOfAKind ('2', 'Q')
FourOfAKind ('3', '5')
FourOfAKind ('3', '6')
FourOfAKind ('3', '9')
FourOfAKind ('3', 'T')
FourOfAKind ('3', 'J')
FourOfAKind ('3', 'Q')
FourOfAKind ('3', 'K')
FourOfAKind ('3', 'A')
FourOfAKind ('4', '2')
FourOfAKind ('4', '5')
FourOfAKind ('4', '9')
FourOfAKind ('4', 'T')
FourOfAKind ('4', 'J')
FourOfAKind ('4', 'K')
FourOfAKind ('5', '4')
FourOfAKind ('5', '7')
FourOfAKind ('5', 'T')
FourOfAKind ('5', 'J')
FourOfAKind ('5', 'Q')
FourOfAKind ('5', 'K')
FourOfAKind ('6', '3')
FourOfAKind ('6', '4')
FourOfAKind ('6', '7')
FourOfAKind ('6', '8')
FourOfAKind ('6', '9')
FourOfAKind ('6', 'T')
FourOfAKind ('6', 'J')
FourOfAKind ('6', 'K')
FourOfAKind ('7', '2')
FourOfAKind ('7', '3')
FourOfAKind ('7', '6')
FourOfAKind ('7', 'T')
FourOfAKind ('7', 'J')
FourOfAKind ('7', 'Q')
FourOfAKind ('8', '3')
FourOfAKind ('8', '5')
FourOfAKind ('8', '6')
FourOfAKind ('8', '9')
FourOfAKind ('8', 'T')
FourOfAKind ('8', 'J')
FourOfAKind ('8', 'Q')
FourOfAKind ('8', 'K')
FourOfAKind ('9', '2')
FourOfAKind ('9', '4')
FourOfAKind ('9', '6')
FourOfAKind ('9', '8')
FourOfAKind ('9', 'J')
FourOfAKind ('9', 'Q')
FourOfAKind ('9', 'K')
FourOfAKind ('9', 'A')
FourOfAKind ('T', '2')
FourOfAKind ('T', '3')
FourOfAKind ('T', '4')
FourOfAKind ('T', '5')
FourOfAKind ('T', '6')
FourOfAKind ('T', '7')
FourOfAKind ('T', '8')
FourOfAKind ('T', '9')
FourOfAKind ('T', 'J')
FourOfAKind ('T', 'Q')
FourOfAKind ('T', 'K')
FourOfAKind ('T', 'A')
FourOfAKind ('J', '8')
FourOfAKind ('Q', '2')
FourOfAKind ('Q', '4')
FourOfAKind ('Q', '5')
FourOfAKind ('Q', '6')
FourOfAKind ('Q', '7')
FourOfAKind ('Q', '8')
FourOfAKind ('Q', 'T')
FourOfAKind ('Q', 'J')
FourOfAKind ('Q', 'K')
FourOfAKind ('Q', 'A')
FourOfAKind ('K', '2')
FourOfAKind ('K', '3')
FourOfAKind ('K', '5')
FourOfAKind ('K', '7')
FourOfAKind ('K', '9')
FourOfAKind ('K', 'T')
FourOfAKind ('K', 'J')
FourOfAKind ('K', 'Q')
FourOfAKind ('A', '2')
FourOfAKind ('A', '5')
FourOfAKind ('A', '7')
FourOfAKind ('A', '8')
FourOfAKind ('A', 'J')
FourOfAKind ('A', 'Q')
FourOfAKind ('A', 'K')
FiveOfAKind 'J'
